Scheme Name,Slug,Brief Description,Detailed Description,Benefits,Eligibility,Application Process,Application URL,Image,Level,Scheme Type,Ministry,Department,Open Date,Close Date,Implementing Agency
PM Kisan Samman Nidhi,pm-kisan,Direct income support to farmers,PM-KISAN provides income support of Rs 6000 per year to all landholding farmer families across India. The amount is paid in three equal installments of Rs 2000 directly to bank accounts via DBT.,Rs 6000 per year in 3 installments of Rs 2000 each,"Small and marginal farmers with cultivable land; families with combined landholding up to 2 hectares; age 18-60",Register at nearest CSC or PM-KISAN portal with Aadhaar and land records,https://pmkisan.gov.in,,Central,Agriculture,Ministry of Agriculture and Farmers Welfare,Department of Agriculture Cooperation and Farmers Welfare,01-12-2018,,PMKISAN PMU
PM Fasal Bima Yojana,pmfby,Crop insurance for farmers against natural calamities,Pradhan Mantri Fasal Bima Yojana provides financial support to farmers suffering crop loss due to unforeseen events like natural calamities pests and diseases. Premium rates are 2% for Kharif and 1.5% for Rabi crops.,Insurance coverage for crop loss due to natural calamities; low premium rates; settlement through remote sensing and technology,"All farmers including sharecroppers and tenant farmers growing notified crops in notified areas; age 18-70",Apply at nearest bank branch or CSC during crop season with land records and bank details,https://pmfby.gov.in,,Central,Agriculture,Ministry of Agriculture and Farmers Welfare,Department of Agriculture Cooperation and Farmers Welfare,13-01-2016,,Agricultural Insurance Company of India
Sukanya Samriddhi Yojana,sukanya-samriddhi,Savings scheme for girl child education and marriage,Sukanya Samriddhi Yojana is a government savings scheme for the girl child providing attractive interest rate currently 8.2% per annum. Account can be opened in post offices and authorized banks.,High interest rate 8.2% pa; tax benefits under 80C; partial withdrawal allowed after girl turns 18 for education,"Parents or guardians of girl child below 10 years of age; Indian residents; one account per girl child; maximum 2 accounts per family",Open account at nearest post office or authorized bank with birth certificate of girl child and parent identity proof,https://www.india.gov.in/sukanya-samriddhi-yojana,,Central,Women Empowerment,Ministry of Finance,Department of Economic Affairs,22-01-2015,,Post Office and Authorized Banks
Pradhan Mantri Mudra Yojana,pmmy,Micro loans for non-farm small enterprises,PMMY provides loans up to Rs 10 lakh to non-corporate non-farm small micro enterprises. Three categories: Shishu up to Rs 50000; Kishor Rs 50001-5 lakh; Tarun Rs 5 lakh-10 lakh.,Collateral-free loans up to Rs 10 lakh; low interest rates; three loan tiers for different business stages,"Small business owners; micro entrepreneurs; women entrepreneurs; SC/ST entrepreneurs; non-corporate non-farm businesses",Apply at nearest bank NBFC MFI with business plan and identity documents,https://www.mudra.org.in,,Central,Business & Entrepreneurship,Ministry of Finance,Department of Financial Services,08-04-2015,,MUDRA Bank and partner lending institutions
Beti Bachao Beti Padhao,bbbp,Scheme to save and educate the girl child,Beti Bachao Beti Padhao aims to address the declining Child Sex Ratio and promote welfare and education of the girl child. Implemented across 640 districts in India with multi-sectoral interventions.,Awareness campaigns; educational support for girl child; medical support; legal protection,"Girl child; families with girl children; pregnant women; women in reproductive age group",Contact nearest Anganwadi center or district administration for support services,https://wcd.nic.in/bbbp-schemes,,Central,Women Empowerment,Ministry of Women and Child Development,Department of Women and Child Development,22-01-2015,,State Governments and UTs
Atal Innovation Mission,aim,Fostering innovation and entrepreneurship in India,AIM is a flagship initiative of NITI Aayog to promote innovation and entrepreneurship across India. Atal Tinkering Labs ATLs are established in schools to cultivate innovative mindset. Atal Incubation Centres AIC support startups.,"Funding for Tinkering Labs up to Rs 20 lakh; incubation support; mentorship; grants up to Rs 10 crore for AICs","Students aged 10-18 for ATLs; startups and entrepreneurs for AICs; schools for establishing ATLs",Apply online at AIM portal with required documents and proposals,https://aim.gov.in,,Central,Business & Entrepreneurship,NITI Aayog,Atal Innovation Mission,01-01-2016,,NITI Aayog
PMEGP (PM Employment Generation Programme),pmegp,Credit-linked subsidy for micro enterprises,PMEGP provides credit-linked subsidy for setting up micro enterprises in non-farm sector to generate employment opportunities. Subsidy 15-35% of project cost depending on area and category.,"Subsidy 15-35% of project cost; loans up to Rs 50 lakh for manufacturing and Rs 20 lakh for service sector","Individual entrepreneurs above 18 years; SC/ST OBC women ex-servicemen minorities persons with disability; minimum 8th pass for projects above Rs 10 lakh",Apply at KVIC DIC or Khadi Board offices with project report and identity documents,https://www.kviconline.gov.in/pmegpeportal,,Central,Business & Entrepreneurship,Ministry of MSME,Khadi and Village Industries Commission,01-04-2008,,KVIC State KVIB and DICs
Ayushman Bharat PM-JAY,pmjay,Health insurance coverage for poor families,Ayushman Bharat Pradhan Mantri Jan Arogya Yojana provides health coverage of Rs 5 lakh per family per year for secondary and tertiary hospitalization. Covers 1949 medical procedures at empaneled hospitals.,"Health coverage up to Rs 5 lakh per family per year; cashless treatment at empaneled hospitals; covers pre and post hospitalization","Families identified in SECC 2011 database; BPL families; approximately 10.74 crore vulnerable families",Check eligibility at nearest CSC or Ayushman Bharat portal; get Ayushman card,https://pmjay.gov.in,,Central,Health & Wellness,Ministry of Health and Family Welfare,National Health Authority,23-09-2018,,National Health Authority and State Health Agencies
National Scholarship Portal,nsp,Central scholarship platform for students,National Scholarship Portal is a one-stop platform for students to apply for various central and state government scholarships. Covers pre-matric post-matric and merit-cum-means scholarships for SC ST OBC minorities and general students.,Financial assistance for education; multiple scholarships on single platform; direct bank transfer,"Students from Class 1 to PhD level; SC ST OBC EWS minority students; income criteria vary by scholarship; age varies 5-35",Register on NSP portal with Aadhaar academic documents and bank account details,https://scholarships.gov.in,,Central,Education & Learning,Ministry of Electronics and IT,National e-Governance Division,01-07-2015,,Various Ministries and State Governments
Pradhan Mantri Awas Yojana Urban,pmay-u,Affordable housing for urban poor,PMAY-U aims to provide housing for all in urban areas by 2022. Provides credit-linked subsidy on home loans for EWS LIG and MIG categories. Interest subsidy up to 6.5% on home loans.,"Credit linked interest subsidy 3-6.5%; affordable housing units; subsidy up to Rs 2.67 lakh","EWS families with income up to Rs 3 lakh; LIG with income Rs 3-6 lakh; MIG-I Rs 6-12 lakh; MIG-II Rs 12-18 lakh; SC/ST minorities women preferred",Apply at bank or housing finance company with income proof Aadhaar and property documents,https://pmaymis.gov.in,,Central,Social Welfare,Ministry of Housing and Urban Affairs,Housing and Urban Development Corporation,25-06-2015,,State Governments ULBs and Housing Agencies
Skill India Mission (PMKVY),pmkvy,Free skill training and certification for youth,Pradhan Mantri Kaushal Vikas Yojana provides free short-term skill training to Indian youth. Trainees receive monetary rewards for successful completion and certification recognized by industry.,"Free skill training; certification; monetary reward Rs 8000 for assessment and certification; placement support","Indian citizens aged 15-45; school dropouts; unemployed youth; priority to SC/ST OBC minorities women",Register at nearest PMKVY Training Centre or online portal with Aadhaar and educational certificates,https://www.pmkvyofficial.org,,Central,Skills & Employment,Ministry of Skill Development and Entrepreneurship,NSDC,15-07-2015,,NSDC and Sector Skill Councils
Stand Up India,standup-india,Bank loans for SC ST and women entrepreneurs,Stand Up India facilitates bank loans between Rs 10 lakh and Rs 1 crore to at least one SC or ST borrower and at least one woman borrower per bank branch for setting up greenfield enterprises.,"Loans Rs 10 lakh to 1 crore; composite loan covering 75% of project cost; 7 years repayment period","SC/ST entrepreneurs; women entrepreneurs; above 18 years; for greenfield projects only; borrower should not be in default",Apply at nearest bank branch or Stand Up India portal with business plan and identity documents,https://www.standupmitra.in,,Central,Business & Entrepreneurship,Ministry of Finance,Department of Financial Services,05-04-2016,,SIDBI NABARD and Scheduled Commercial Banks
